Year,Age,Both Sexes Population
2050,0-4,226006984
2050,05-Sep,216935193
2050,Oct-14,207338504
2050,15-19,195401321
2050,20-24,181223728
2050,25-29,166352116
2050,30-34,151550672
2050,35-39,137254338
2050,40-44,122063844
2050,45-49,104126967
2050,50-54,85075232
2050,55-59,69269066
2050,60-64,56792878
2050,65-69,43877655
2050,70-74,31086212
2050,75-79,19876963
2050,80-84,11221766
2050,85+,7175058
2050,Total,2032628497
