Year,Age,Both Sexes Population
2050,0-4,18442908
2050,05-Sep,19253788
2050,Oct-14,19380288
2050,15-19,19082108
2050,20-24,19399009
2050,25-29,21049992
2050,30-34,23397879
2050,35-39,25083741
2050,40-44,24185059
2050,45-49,21456419
2050,50-54,21491699
2050,55-59,25093987
2050,60-64,29287419
2050,65-69,26574388
2050,70-74,22161205
2050,75-79,17399470
2050,80-84,12208724
2050,85+,16138237
2050,Total,381086320
