Year,Age,Both Sexes Population
2050,0-4,142750825
2050,05-Sep,143536983
2050,Oct-14,145436715
2050,15-19,147286998
2050,20-24,148421253
2050,25-29,148534007
2050,30-34,147720837
2050,35-39,147479783
2050,40-44,147384219
2050,45-49,147626152
2050,50-54,144604995
2050,55-59,132914155
2050,60-64,118114500
2050,65-69,101217034
2050,70-74,82136689
2050,75-79,61709738
2050,80-84,38950486
2050,85+,28886449
2050,Total,2174711818
