Year,Age,Both Sexes Population
2050,0-4,37652916
2050,05-Sep,38828277
2050,Oct-14,40101372
2050,15-19,41395687
2050,20-24,42316349
2050,25-29,42763222
2050,30-34,43001444
2050,35-39,43188915
2050,40-44,43763776
2050,45-49,44805683
2050,50-54,44522820
2050,55-59,42676750
2050,60-64,40051301
2050,65-69,35827470
2050,70-74,29847261
2050,75-79,23874803
2050,80-84,17307211
2050,85+,17324573
2050,Total,669249830
