Year,Age,Both Sexes Population
2050,0-4,57836045
2050,05-Sep,58577184
2050,Oct-14,59199818
2050,15-19,60509340
2050,20-24,63293896
2050,25-29,66209045
2050,30-34,68210411
2050,35-39,69570641
2050,40-44,70602129
2050,45-49,70059761
2050,50-54,70990316
2050,55-59,72002338
2050,60-64,69736299
2050,65-69,66984693
2050,70-74,62040845
2050,75-79,57713268
2050,80-84,48780436
2050,85+,69836727
2050,Total,1162153192
