Year,Age,Both Sexes Population
2050,0-4,66327055
2050,05-Sep,66078972
2050,Oct-14,64939204
2050,15-19,63749765
2050,20-24,63656147
2050,25-29,64376318
2050,30-34,64639897
2050,35-39,62696001
2050,40-44,57586598
2050,45-49,52714176
2050,50-54,48250358
2050,55-59,46587920
2050,60-64,43930893
2050,65-69,38170297
2050,70-74,29591850
2050,75-79,20652389
2050,80-84,13333833
2050,85+,1071455
2050,Total,877996228
